nom,description,categorie_technologies_id,competence_id
html,"est le langage de balisage standard utilisé pour créer des pages web. Il fournit la structure de base d'un site web, qui est ensuite améliorée et modifiée par d'autres technologies comme CSS et JavaScript.",1,1
css,"est un langage de feuille de style utilisé pour décrire la présentation d'un document écrit en HTML ou XML. CSS définit comment les éléments doivent être affichés sur l'écran, le papier ou dans d'autres médias, y compris la mise en page, les couleurs et les polices.",1,1
javascript,est un langage de programmation couramment utilisé dans le développement web. Il permet de créer des pages web interactives et fait partie intégrante des applications web. JavaScript permet aux scripts côté client d'interagir avec l'utilisateur et de créer des pages dynamiques,1,1
bootstrap,"est un framework CSS gratuit et open-source destiné au développement front-end réactif et mobile-first. Il contient des modèles de conception basés sur CSS et JavaScript pour la typographie, les formulaires, les boutons, la navigation et d'autres composants d'interface",1,1
php,"est un langage de script généraliste particulièrement adapté au développement web. Il a été créé à l'origine par le programmeur dano-canadien Rasmus Lerdorf en 1993 et publié en 1995. Le code PHP est exécuté sur le serveur, générant du HTML qui est ensuite envoyé au client",2,2
mysql,"est un système de gestion de bases de données relationnelles (SGBDR) open-source. Il utilise le langage SQL (Structured Query Language) pour accéder, gérer et manipuler les données. MySQL est largement utilisé pour les bases de données web et est un composant central de la pile de logiciels d'application web LAMP (Linux, Apache, MySQL, PHP/Perl/Python).",3,3
sql,"est un langage de programmation standardisé utilisé pour gérer les bases de données relationnelles et effectuer diverses opérations sur les données qu'elles contiennent. SQL est utilisé pour interroger, insérer, mettre à jour et modifier des données.",3,3
laravel,"est un framework web PHP gratuit et open-source destiné au développement d'applications web suivant le modèle architectural modèle-vue-contrôleur (MVC). Il est connu pour sa syntaxe élégante, ses fonctionnalités robustes et sa capacité à rationaliser de nombreuses tâches courantes du développement web.",2,4
react js,"est une bibliothèque JavaScript open-source utilisée pour construire des interfaces utilisateur. Développée par Facebook, elle permet de créer des composants d'interface utilisateur réutilisables et dynamiques pour des applications web à page unique.",1,5
kotlin,"est un langage de programmation moderne, statiquement typé, développé par JetBrains. Il est utilisé principalement pour le développement d'applications Android, mais il peut également être utilisé pour le développement côté serveur, le développement web et le développement multiplateforme. Kotlin est conçu pour interopérer entièrement avec Java.",4,6
