nom,description
Laravel,PHP framework
Blockchain,Decentralized ledger technology
ReactJs,JavaScript library for building user interfaces
Tailwind,CSS framework for rapid UI development
User story,A brief description of a feature from an end-user perspective
Duck Laravel,A humorous or placeholder term likely related to Laravel
Methode Agile,Project management methodology focused on iterative development
Gestion de temps,Time management
ReactJs,JavaScript library for building user interfaces
Tailwind,CSS framework for rapid UI development
User story,A brief description of a feature from an end-user perspective
Sprint review,A meeting to review and demonstrate the work completed during a sprint
